Date,demand_quantity,combined
2013-03-09,22966,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-03-10,15789,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-03-11,25836,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-03-12,20095,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-03-13,18660,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-03-14,14354,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-03-15,20095,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-03-16,14354,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-03-17,31578,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-03-18,15789,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-03-19,27272,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-03-20,20095,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-03-21,24401,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-03-22,30142,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-03-23,30142,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-03-24,27272,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-03-25,18660,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-03-26,22966,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-03-27,15789,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-03-28,18660,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-03-29,24401,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-03-30,27272,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-03-31,28707,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-04-01,15789,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-04-02,27272,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-04-03,34448,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-04-04,25836,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-04-05,27272,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-04-06,33013,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-04-07,24401,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-04-08,27272,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-04-09,18660,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-04-10,27272,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-04-11,22966,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-04-12,25836,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-04-13,24401,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-04-14,37319,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-04-15,20095,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-04-16,12918,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-04-17,24401,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-04-18,30142,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-04-19,31578,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-04-20,31578,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-04-21,28707,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-04-22,18660,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-04-23,15789,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-04-24,18660,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-04-25,20095,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-04-26,28707,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-04-27,31578,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-04-28,27272,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-04-29,15789,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-04-30,21530,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-05-01,22966,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-05-02,33013,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-05-03,31578,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-05-04,28707,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-05-05,20095,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-05-06,20095,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-05-07,21530,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-05-08,20095,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-05-09,15789,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-05-10,22966,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-05-11,27272,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-05-12,18660,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-05-13,12918,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-05-14,18660,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-05-15,22966,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-05-16,21530,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-05-17,22966,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-05-18,28707,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-05-19,27272,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-05-20,20095,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-05-21,34448,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-05-22,33013,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-05-23,20095,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-05-24,34448,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-05-25,35884,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-05-26,38754,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-05-27,10047,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-05-28,17224,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-05-29,14354,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-05-30,27272,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-05-31,38754,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-06-01,37319,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-06-02,31578,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-06-03,17224,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-06-04,21530,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-06-05,34448,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-06-06,12918,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-06-07,30142,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-06-08,28707,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-06-09,54543,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-06-10,28707,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-06-11,25836,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-06-12,31578,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-06-13,30142,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-06-14,31578,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-06-15,37319,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-06-16,33013,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-06-17,18660,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-06-18,30142,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-06-19,25836,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-06-20,34448,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-06-21,27272,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-06-22,33013,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-06-23,34448,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-06-24,24401,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-06-25,30142,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-06-26,30142,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-06-27,37319,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-06-28,24401,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-06-29,28707,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-06-30,34448,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-07-01,33013,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-07-02,24401,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-07-03,17224,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-07-04,34448,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-07-05,24401,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-07-06,22966,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-07-07,48802,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-07-08,28707,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-07-09,33013,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-07-10,20095,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-07-11,35884,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-07-12,41625,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-07-13,31578,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-07-14,41625,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-07-15,25836,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-07-16,17224,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-07-17,22966,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-07-18,30142,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-07-19,35884,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-07-20,35884,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-07-21,37319,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-07-22,25836,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-07-23,24401,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-07-24,30142,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-07-25,30142,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-07-26,44496,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-07-27,27272,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-07-28,35884,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-07-29,11483,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-07-30,37319,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-07-31,38754,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-08-01,30142,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-08-02,27272,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-08-03,34448,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-08-04,37319,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-08-05,24401,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-08-06,14354,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-08-07,35884,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-08-08,28707,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-08-09,27272,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-08-10,31578,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-08-11,35884,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-08-12,14354,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-08-13,15789,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-08-14,27272,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-08-15,31578,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-08-16,21530,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-08-17,41625,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-08-18,38754,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-08-19,15789,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-08-20,21530,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-08-21,28707,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-08-22,28707,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-08-23,27272,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-08-24,27272,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-08-25,33013,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-08-26,15789,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-08-27,22966,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-08-28,28707,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-08-29,20095,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-08-30,28707,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-08-31,35884,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-09-01,35884,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-09-02,14354,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-09-03,22966,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-09-04,14354,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-09-05,22966,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-09-06,28707,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-09-07,28707,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-09-08,27272,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-09-09,21530,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-09-10,24401,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-09-11,37319,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-09-12,20095,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-09-13,22966,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-09-14,38754,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-09-15,20095,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-09-16,22966,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-09-17,28707,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-09-18,25836,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-09-19,22966,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-09-20,15789,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-09-21,18660,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-09-22,22966,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-09-23,25836,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-09-24,20095,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-09-25,24401,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-09-26,28707,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-09-27,31578,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-09-28,18660,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-09-29,28707,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-09-30,28707,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-10-01,17224,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-10-02,15789,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-10-03,20095,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-10-04,20095,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-10-05,20095,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-10-06,28707,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-10-07,18660,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-10-08,18660,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-10-09,20095,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-10-10,28707,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-10-11,24401,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-10-12,24401,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-10-13,28707,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-10-14,21530,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-10-15,21530,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-10-16,21530,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-10-17,14354,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-10-18,14354,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-10-19,25836,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-10-20,35884,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-10-21,18660,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-10-22,15789,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-10-23,22966,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-10-24,24401,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-10-25,25836,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-10-26,27272,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-10-27,20095,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-10-28,15789,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-10-29,24401,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-10-30,28707,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
